Comida,Alimento,Cantidad,Proteínas,Grasas,Carbs,Fibra,Calorías
Desayuno,Revuelto de claras,4 claras,15g,0g,1g,0g,68
SUBTOTAL DESAYUNO,,,15g,0g,1g,0g,68
(1-1.5h pre-entreno),Copos de avena,45g,4g,2g,27g,4g,155
(1-1.5h pre-entreno),Jamón de york sin grasa,60g,19g,3g,1g,0g,102
(1-1.5h pre-entreno),Aguacate,50g,2g,7g,2g,2g,80
(1-1.5h pre-entreno),Semillas de lino molidas,4g,1g,1g,1g,1g,17
SUBTOTAL (1-1.5H PRE-ENTRENO),,,26g,13g,31g,7g,354
Post-entreno,Proteína de suero,35g,30g,1g,2g,0g,134
Post-entreno,Avena,37g,3g,3g,22g,3g,133
Post-entreno,Creatina,6g,0g,0g,0g,0g,0
SUBTOTAL POST-ENTRENO,,,33g,4g,24g,3g,266
Almuerzo,Entrecot de ternera,170g,34g,12g,0g,0g,230
Almuerzo,Arroz jazmín,77g (crudo),7g,4g,60g,4g,276
Almuerzo,Berenjena,140g,1g,0g,8g,4g,33
Almuerzo,Aceite oliva,1ml,0g,1g,0g,0g,9
SUBTOTAL ALMUERZO,,,42g,17g,68g,8g,548
Merienda,Yogur griego natural,90g,9g,4g,4g,0g,87
Merienda,Moras,50g,1g,0g,6g,3g,25
Merienda,Piñones,5g,1g,3g,1g,1g,36
Merienda,Queso fresco en dados,85g,10g,2g,2g,0g,69
Merienda,Atún en lata,60g (agua),17g,1g,0g,0g,74
SUBTOTAL MERIENDA,,,38g,10g,13g,4g,291
Cena,Sepia,200g,34g,1g,4g,0g,164
Cena,Patata nueva,80g,1g,0g,14g,2g,58
Cena,Espinacas frescas,140g,3g,1g,3g,3g,29
Cena,Aceitunas arbequina,3 unidades,0g,1g,1g,1g,15
SUBTOTAL CENA,,,38g,3g,22g,6g,266
TOTALES VIERNES,,,192g,47g,159g,28g,1793
