Comida,Alimento,Cantidad,Proteínas,Grasas,Carbs,Fibra,Calorías
Desayuno,Revuelto de claras,3 claras,11g,0g,1g,0g,51
Desayuno,Copos de avena,25g,3g,1g,15g,2g,86
Desayuno,Aguacate,40g,1g,6g,1g,2g,64
Desayuno,Semillas de lino molidas,5g,1g,2g,1g,2g,21
SUBTOTAL DESAYUNO,,,16g,9g,18g,6g,222
Post-entreno,Proteína de suero,30g,26g,1g,2g,0g,115
Post-entreno,Avena,20g,2g,1g,12g,2g,72
Post-entreno,Creatina,6g,0g,0g,0g,0g,0
SUBTOTAL POST-ENTRENO,,,28g,2g,14g,2g,187
Almuerzo,Entrecot de ternera,110g,22g,8g,0g,0g,150
Almuerzo,Arroz jazmín,45g (crudo),3g,1g,35g,1g,161
Almuerzo,Berenjena,140g,1g,0g,8g,4g,33
Almuerzo,Aceite oliva,3ml,0g,3g,0g,0g,27
SUBTOTAL ALMUERZO,,,26g,12g,43g,5g,371
Merienda,Yogur griego natural,100g,10g,5g,5g,0g,97
Merienda,Moras,60g,1g,0g,7g,3g,30
Merienda,Piñones,8g,1g,5g,1g,1g,57
Merienda,Queso fresco en dados,60g,7g,2g,2g,0g,49
SUBTOTAL MERIENDA,,,19g,12g,15g,4g,233
Cena,Sepia,120g,20g,1g,2g,0g,98
Cena,Patata nueva,120g,1g,0g,21g,3g,87
Cena,Espinacas frescas,140g,3g,1g,3g,3g,29
Cena,Aceitunas arbequina,6 unidades,0g,3g,1g,1g,30
Cena,Palitos de cangrejo,50g,10g,1g,5g,0g,64
SUBTOTAL CENA,,,34g,6g,32g,7g,308
TOTALES VIERNES,,,123g,41g,122g,24g,1321
