Comida,Alimento,Cantidad,Proteínas,Grasas,Carbs,Fibra,Calorías
Desayuno,Pancakes proteicos,2 huevos + 20g avena,12g,10g,12g,2g,156
Desayuno,Miel,10g,0g,0g,8g,0g,33
Desayuno,Creatina,6g,0g,0g,0g,0g,0
Desayuno,Aguacate,35g,1g,6g,1g,2g,56
Desayuno,Semillas girasol,6g,1g,3g,1g,1g,34
SUBTOTAL DESAYUNO,,,14g,19g,22g,5g,279
Almuerzo,Paella de verduras,160g (porción moderada),19g,8g,45g,3g,320
Almuerzo,Ensalada variada,100g,2g,4g,4g,3g,59
SUBTOTAL ALMUERZO,,,21g,12g,49g,6g,379
Merienda,Nueces mixtas,8g,2g,5g,2g,1g,56
Merienda,Té rojo,250ml,0g,0g,0g,0g,0
Merienda,Yogur griego sin lactosa,80g,8g,5g,5g,0g,77
Merienda,Atún en lata,80g (agua),23g,1g,0g,0g,98
Merienda,Pavo lonchas,30g,9g,1g,0g,0g,39
SUBTOTAL MERIENDA,,,42g,12g,7g,1g,270
Cena,Lubina a la sal,110g,21g,1g,0g,0g,97
Cena,Verduras asadas,150g,3g,4g,11g,5g,83
Cena,Patata cocida,90g,2g,0g,14g,2g,65
Cena,Aceitunas,5 unidades,0g,2g,1g,1g,25
Cena,Jamón serrano,30g,9g,3g,0g,0g,63
SUBTOTAL CENA,,,35g,10g,26g,8g,333
TOTALES DOMINGO,,,112g,53g,104g,20g,1261
