Comida,Alimento,Cantidad,Proteínas,Grasas,Carbs,Fibra,Calorías
Desayuno,Huevos poché,2 huevos,12g,10g,1g,0g,140
Desayuno,Proteína de suero,25g,21g,1g,1g,0g,97
Desayuno,Lomo embuchado,25g,7g,6g,0g,0g,75
Desayuno,Creatina,6g,0g,0g,0g,0g,0
Desayuno,Pan integral,20g,2g,1g,14g,2g,72
Desayuno,Aguacate,25g,1g,4g,1g,1g,40
SUBTOTAL DESAYUNO,,,,43g,22g,17g,3g,424
Post-cardio,Yogur griego sin lactosa,60g,6g,4g,4g,0g,60
Post-cardio,Melón,80g,1g,0g,7g,1g,29
SUBTOTAL POST-CARDIO,,,,7g,4g,11g,1g,89
Almuerzo,Ternera magra,80g,19g,2g,0g,0g,96
Almuerzo,Atún en lata,90g (agua),26g,1g,0g,0g,111
Almuerzo,Arroz integral,18g (crudo),2g,0g,13g,1g,67
Almuerzo,Calabacín,120g,2g,0g,4g,2g,22
SUBTOTAL ALMUERZO,,,,49g,3g,17g,3g,296
Merienda,Yogur sin lactosa,70g,2g,2g,4g,0g,37
Merienda,Semillas de chía,4g,1g,1g,1g,1g,20
Merienda,Atún en lata,110g (agua),32g,1g,0g,0g,135
Merienda,Salmón ahumado,40g,9g,3g,0g,0g,70
Merienda,Pechuga de pavo,45g,14g,1g,0g,0g,59
SUBTOTAL MERIENDA,,,,57g,8g,5g,1g,301
Cena,Lenguado,120g,23g,1g,0g,0g,97
Cena,Lentejas verdes,18g (crudo),4g,0g,10g,2g,62
Cena,Canónigos,50g,2g,0g,3g,2g,21
Cena,Aceitunas,3 unidades,0g,1g,1g,1g,15
Cena,Jamón serrano,25g,8g,3g,0g,0g,52
SUBTOTAL CENA,,,,37g,5g,14g,5g,247
TOTALES SÁBADO,,,,193g,41g,64g,13g,1357
