comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (2 enteros),2,unit,140,12,1,10,0,Yema blanda
Desayuno,07:00,Pan integral (rebanada),1,slice,80,4,14,1,2,
Desayuno,07:00,Cafe con leche de cabra,150,ml,45,3,4,2,0,
Batido post-entreno,10:00,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,
Batido post-entreno,10:00,Crema de arroz,40,g,146.8,2.8,33.2,0.4,0.4,
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27,0.4,3.1,
Comida,13:00,Tortilla de huevos (3 huevos),3,unit,210,18,1.5,15,0,Con calabacin
Comida,13:00,Ensalada completa,200,g,38,2.4,6,0.6,3,Lechuga tomate pepino zanahoria
Comida,13:00,Pavo en lonchas,80,g,84,16.8,0.8,1.2,0,Extra proteina
Comida,13:00,Arroz blanco,20,g,65,1.3,14.1,0.2,0.2,Pesar en crudo
Comida,13:00,AOVE,7,ml,61.9,0,0,7,0,
Snack pre-cardio,16:30,Yogur vegetal natural Danone,125,g,83,4.6,9.4,2.6,1.1,Danone
Snack pre-cardio,16:30,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,Redistribuido del batido
Snack pre-cardio,16:30,Anacardos,21,g,116.1,3.8,6.3,9.2,0.7,
Snack pre-cardio,16:30,Pera,1,unit,85,0.5,22,0.2,4.5,
Post-cardio,18:00,Queso curado,45,g,180,11.7,0.5,14.4,0,Bajo en lactosa natural
Post-cardio,18:00,Pepino,100,g,15,0.7,3.6,0.1,0.5,
Cena,20:30,Lomo de cerdo plancha,180,g,257.4,48.6,0,5.4,0,
Cena,20:30,Patata al horno,180,g,138.6,3.6,30.6,0.2,4,Porcion aumentada
Cena,20:30,Champinones salteados,100,g,22,3.1,3.3,0.3,1,
Cena,20:30,Ensalada verde,100,g,15,1,2.5,0.2,1.2,
Cena,20:30,AOVE,8,ml,70.7,0,0,8,0,
TOTAL,,—,,,2205.5,190.1,181,83.7,25.5,Dia de descanso
