comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (3 enteros),3,unit,210,18.0,1.5,15.0,0.0,Yema blanda
Desayuno,07:00,Pan integral (rebanada),1,slice,80,4.0,14.0,1.0,2.0,
Desayuno,07:00,Cafe con leche de cabra,150,ml,45,3.0,4.0,2.0,0.0,150ml leche de cabra entera
Batido post-entreno,10:00,Whey protein (1 scoop),30,g,117,24.0,2.0,1.4,0.0,
Batido post-entreno,10:00,Crema de arroz,40,g,147,2.8,33.2,0.4,0.4,Pesar en crudo (polvo)
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1.0,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27.0,0.4,3.1,
Comida,13:00,Garbanzos,50,g,188,11.2,27.5,3.8,7.5,Pesar en crudo. Con espinacas
Comida,13:00,Espinacas salteadas,200,g,46,5.8,7.2,0.8,4.4,Sin aceite
Comida,13:00,Pechuga de pavo plancha,150,g,165,33.0,0.0,2.25,0.0,Pesar crudo. Subido de 120g por compensacion proteica
Snack pre-cardio,16:30,Yogur vegetal natural Danone,125,g,83,4.6,9.4,2.6,1.1,Danone vegetal natural
Snack pre-cardio,16:30,Whey protein (1 scoop),30,g,117,24.0,2.0,1.4,0.0,
Snack pre-cardio,16:30,Anacardos,16,g,89,2.9,5.2,7.0,0.4,Pesar exacto en bascula
Snack pre-cardio,16:30,Manzana,1,unit,80,0.5,21.0,0.3,3.5,
Cena,20:30,Salmon al horno,130,g,271,26.0,0.0,16.9,0.0,Pesar crudo
Cena,20:30,Boniato al horno,90,g,77,1.4,18.0,0.1,2.7,Pesar crudo
Cena,20:30,Judias verdes al vapor,200,g,62,3.6,14.0,0.4,6.8,Sin aceite
Cena,20:30,Ensalada (lechuga tomate pepino),150,g,26,1.5,4.1,0.4,2.0,Sin cebolla sin aliño. Sal marina 1.5g.
TOTAL,,—,,,1920,168.7,191.7,56.7,36.4,Legs sin LISS extra. CON crema arroz. Sin AOVE. Sin post-cardio (eliminada). 5 comidas.
