comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (2 enteros),2,unit,140,12,1,10,0,Yema blanda
Desayuno,07:00,Pan integral (rebanada),1,slice,80,4,14,1,2,
Desayuno,07:00,Cafe con leche de cabra,150,ml,45,3,4,2,0,
Batido post-entreno,10:00,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,
Batido post-entreno,10:00,Crema de arroz,40,g,146.8,2.8,33.2,0.4,0.4,
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27,0.4,3.1,
Comida,13:00,Pechuga de pavo plancha,220,g,242,48.4,0,3.3,0,
Comida,13:00,Arroz blanco cocido,198,g,257.4,5.4,55.8,0.6,0.8,Porcion aumentada
Comida,13:00,Espinacas salteadas,150,g,34.5,4.4,5.4,0.6,3.3,
Comida,13:00,AOVE,8,ml,70.7,0,0,8,0,
Snack pre-cardio,16:30,Yogur sin lactosa natural,125,g,55,5,6,1.5,0,Kaiku o Hacendado
Snack pre-cardio,16:30,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,Redistribuido del batido
Snack pre-cardio,16:30,Nueces,25,g,163.5,3.8,3.4,16.3,1.7,Porcion aumentada
Snack pre-cardio,16:30,Melocoton,1,unit,58,1,14,0.4,2,
Post-cardio,18:00,Pavo en lonchas,120,g,126,25.2,1.2,1.8,0,
Post-cardio,18:00,Pepino,100,g,15,0.7,3.6,0.1,0.5,
Cena,20:30,Bonito al horno,180,g,275.4,46.8,0,9,0,
Cena,20:30,Patata al horno,230,g,177.1,4.6,39.1,0.2,5.1,Porcion aumentada
Cena,20:30,Ensalada (lechuga tomate pepino),150,g,25.5,1.5,4.1,0.5,2,Sin cebolla
Cena,20:30,AOVE,7,ml,61.9,0,0,7,0,
TOTAL,,—,,,2325.1,218.9,217.3,66.3,23.4,
