comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (2 enteros),2,unit,140,12,1,10,0,Yema blanda
Desayuno,07:00,Pan integral (rebanadas),2,slice,160,8,28,2,4,Porcion doble
Desayuno,07:00,Cafe con leche de cabra,200,ml,60,4,5.5,2.5,0,
Batido post-entreno,10:00,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,
Batido post-entreno,10:00,Crema de arroz,60,g,220.2,4.2,49.8,0.6,0.6,Porcion aumentada
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27,0.4,3.1,
Comida,13:00,Merluza plancha,230,g,188.6,39.6,0,1.6,0,
Comida,13:00,Arroz blanco cocido,240,g,312,6.5,67.7,0.7,1,Porcion aumentada
Comida,13:00,Judias verdes al vapor,150,g,46.5,2.7,10.5,0.2,5.1,
Comida,13:00,AOVE,10,ml,88.4,0,0,10,0,
Snack pre-cardio,16:30,Yogur vegetal natural Danone,150,g,99,5.6,11.3,3.2,1.4,Danone
Snack pre-cardio,16:30,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,Redistribuido del batido
Snack pre-cardio,16:30,Anacardos,30,g,165.9,5.5,9.1,13.2,1,Porcion aumentada
Snack pre-cardio,16:30,Pera,1,unit,85,0.5,22,0.2,4.5,
Post-cardio,18:00,Pavo en lonchas,100,g,105,21,1,1.5,0,
Post-cardio,18:00,Tomate cherry,100,g,18,0.9,3.9,0.2,1.2,
Cena,20:30,Ternera plancha,180,g,270,46.8,0,9,0,Filete fino
Cena,20:30,Patata al horno,260,g,200.2,5.2,44.2,0.3,5.7,Porcion aumentada
Cena,20:30,Ensalada (lechuga tomate pepino),200,g,34,2,5.4,0.6,2.6,Sin cebolla
Cena,20:30,AOVE,8,ml,70.7,0,0,8,0,
TOTAL,,—,,,2612.1,214.3,282.8,72.4,32.3,
