comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (2 enteros),2,unit,140,12,1,10,0,Yema blanda
Desayuno,07:00,Pan integral (rebanadas),2,slice,160,8,28,2,4,Porcion doble
Desayuno,07:00,Cafe con leche de cabra,200,ml,60,4,5.5,2.5,0,
Batido post-entreno,10:00,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,
Batido post-entreno,10:00,Crema de arroz,60,g,220.2,4.2,49.8,0.6,0.6,Porcion aumentada
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27,0.4,3.1,
Comida,13:00,Lentejas cocidas con verduras,230,g,266.7,20.7,46,0.9,18.15,Reducido para compensar pre/post cardio. Con calabacin y pimiento
Comida,13:00,Calabacin,100,g,17,1.2,3.1,0.3,1,
Comida,13:00,Zanahoria,80,g,32.8,0.7,8,0.2,2.2,
Comida,13:00,Pimiento rojo,80,g,24.8,0.8,4.8,0.2,1.7,
Comida,13:00,Arroz blanco cocido,140,g,182,3.8,39.5,0.4,0.6,Acompanamiento
Comida,13:00,AOVE,10,ml,88.4,0,0,10,0,
Snack pre-cardio,16:30,Yogur vegetal natural Danone,150,g,99,5.6,11.3,3.2,1.4,Danone
Snack pre-cardio,16:30,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,Redistribuido del batido
Snack pre-cardio,16:30,Anacardos,16,g,88.5,2.9,4.8,7,0.5,Mismo patron lunes
Snack pre-cardio,16:30,Manzana,1,unit,80,0.5,21,0.3,3.5,
Post-cardio,18:00,Pavo en lonchas,120,g,126,25.2,1.2,1.8,0,
Post-cardio,18:00,Pepino,100,g,15,0.7,3.6,0.1,0.5,
Cena,20:30,Atun plancha,180,g,234,52.2,0,1.1,0,Fresco
Cena,20:30,Patata al horno,200,g,154,4,34,0.23,4.38,Reducido para compensar pre/post cardio
Cena,20:30,Ensalada (espinacas tomate pepino),200,g,38,3,5.4,0.6,2.6,Sin cebolla
Cena,20:30,AOVE,8,ml,70.7,0,0,8,0,
TOTAL,,—,,,2448.5,199.8,299.5,53.13,46.73,Diet break: con crema de arroz (dia piernas) + LISS 45 min cardio
