comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:00,Huevos revueltos (2 enteros),2,unit,140,12,1,10,0,Yema blanda
Desayuno,07:00,Pan integral (rebanadas),2,slice,160,8,28,2,4,Porcion doble
Desayuno,07:00,Cafe con leche de cabra,200,ml,60,4,5.5,2.5,0,
Batido post-entreno,10:00,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,
Batido post-entreno,10:00,Crema de arroz,60,g,220.2,4.2,49.8,0.6,0.6,Porcion aumentada
Batido post-entreno,10:00,Salvado de trigo integral,6,g,13,1,1.5,0.5,2.5,Por diverticulos
Batido post-entreno,10:00,Platano,1,unit,105,1.3,27,0.4,3.1,
Comida,13:00,Garbanzos cocidos,260,g,390,23.4,57.2,7.8,15.6,Con espinacas
Comida,13:00,Espinacas,120,g,27.6,3.5,4.3,0.5,2.6,
Comida,13:00,Pechuga de pollo plancha,120,g,198,37.2,0,4.3,0,Para completar proteina
Comida,13:00,Arroz blanco cocido,120,g,156,3.2,33.8,0.4,0.5,Acompanamiento
Comida,13:00,AOVE,10,ml,88.4,0,0,10,0,
Snack pre-cardio,16:30,Yogur vegetal natural Danone,150,g,99,5.6,11.3,3.2,1.4,Danone
Snack pre-cardio,16:30,Whey protein (1 scoop),30,g,116.7,24,2,1.4,0,Redistribuido del batido
Snack pre-cardio,16:30,Anacardos,25,g,138.3,4.6,7.6,11,0.8,Porcion aumentada
Snack pre-cardio,16:30,Manzana,1,unit,80,0.5,21,0.3,3.5,
Post-cardio,18:00,Pavo en lonchas,100,g,105,21,1,1.5,0,
Post-cardio,18:00,Pepino,100,g,15,0.7,3.6,0.1,0.5,
Cena,20:30,Salmon plancha,160,g,332.8,32,0,20.8,0,
Cena,20:30,Patata al horno,250,g,192.5,5,42.5,0.3,5.5,Porcion aumentada
Cena,20:30,Ensalada (lechuga tomate pepino),200,g,34,2,5.4,0.6,2.6,Sin cebolla
Cena,20:30,AOVE,8,ml,70.7,0,0,8,0,
TOTAL,,—,,,2861.2,219.4,299.3,89.9,44.8,
