Comida,Alimento,Cantidad,Proteínas,Grasas,Carbs,Fibra,Calorías
**Desayuno**,Copos de avena,20g,2g,1g,12g,2g,69
**(1-1.5h pre-cardio)**,Jamón de york sin grasa,40g,13g,2g,1g,0g,68
,Almendras laminadas,5g,1g,3g,1g,1g,30
,Aguacate,25g,1g,3g,1g,1g,40
,Arándanos,50g,0g,0g,7g,2g,25
**SUBTOTAL DESAYUNO**,,,,**17g**,**9g**,**22g**,**6g**,**232**
**Post-cardio**,Proteína de suero,35g,30g,1g,2g,0g,134
,Plátano pequeño,60g,1g,0g,14g,2g,53
,Creatina,6g,0g,0g,0g,0g,0
**SUBTOTAL POST-CARDIO**,,,,**31g**,**1g**,**16g**,**2g**,**187**
**Almuerzo**,Garbanzos cocidos,40g,3g,1g,8g,3g,54
,Langostinos,120g,28g,1g,1g,0g,124
,Atún en lata,60g (agua),17g,1g,0g,0g,75
,Pimiento rojo,100g,1g,0g,7g,2g,29
,Aceite oliva,1ml,0g,1g,0g,0g,9
**SUBTOTAL ALMUERZO**,,,,**49g**,**4g**,**16g**,**5g**,**291**
**Merienda**,Yogur griego 0% grasa,80g,8g,0g,4g,0g,48
,Avellanas,5g,1g,3g,1g,1g,32
,Caballa en lata,70g (agua),18g,3g,0g,0g,133
,Melocotón,70g,1g,0g,5g,1g,26
,Jamón serrano,40g,12g,4g,0g,0g,84
,Pechuga de pavo,35g,11g,1g,0g,0g,45
**SUBTOTAL MERIENDA**,,,,**51g**,**11g**,**10g**,**2g**,**368**
**Cena**,Dorada,130g,24g,2g,0g,0g,111
,Pechuga de pollo,50g,12g,2g,0g,0g,66
,Arroz integral,20g (crudo),2g,1g,15g,1g,76
,Calabacín,140g,2g,0g,5g,2g,26
,Aceitunas verdes,2 unidades,0g,1g,0g,0g,10
**SUBTOTAL CENA**,,,,**40g**,**6g**,**20g**,**3g**,**289**
**TOTALES MARTES**,,,,**188g**,**31g**,**81g**,**17g**,**1358**
