Comida,Alimento,Cantidad,Proteínas,Grasas,Carbs,Fibra,Calorías
Desayuno,Revuelto de claras,4 claras,15g,0g,1g,0g,68
(1-1.5h pre-entreno),Copos de avena,20g,2g,1g,12g,2g,69
,Jamón de york sin grasa,60g,19g,3g,1g,0g,102
,Aguacate,30g,1g,4g,1g,1g,48
,Semillas de lino molidas,4g,1g,1g,1g,1g,17
SUBTOTAL DESAYUNO,,,38g,9g,16g,4g,304
Post-entreno,Proteína de suero,50g,43g,1g,3g,0g,191
,Avena,12g,1g,1g,7g,1g,43
,Creatina,6g,0g,0g,0g,0g,0
SUBTOTAL POST-ENTRENO,,,44g,2g,10g,1g,234
Almuerzo,Entrecot de ternera,170g,34g,12g,0g,0g,230
,Arroz jazmín,22g (crudo),2g,1g,17g,1g,79
,Berenjena,140g,1g,0g,8g,4g,33
,Aceite oliva,1ml,0g,1g,0g,0g,9
SUBTOTAL ALMUERZO,,,37g,14g,25g,5g,351
Merienda,Yogur griego natural,90g,9g,4g,4g,0g,87
,Moras,50g,1g,0g,6g,3g,25
,Piñones,5g,1g,3g,1g,1g,36
,Queso fresco en dados,85g,10g,2g,2g,0g,69
,Atún en lata,60g (agua),17g,1g,0g,0g,74
SUBTOTAL MERIENDA,,,38g,10g,13g,4g,291
Cena,Sepia,200g,34g,1g,4g,0g,164
,Patata nueva,80g,1g,0g,14g,2g,58
,Espinacas frescas,140g,3g,1g,3g,3g,29
,Aceitunas arbequina,3 unidades,0g,1g,1g,1g,15
SUBTOTAL CENA,,,38g,3g,22g,6g,266
TOTALES VIERNES,,,195g,41g,84g,19g,1446
