comida,hora,alimento,cantidad,unidad,kcal,proteinas_g,carbohidratos_g,grasas_g,fibra_g,notas
Desayuno,07:30,Huevo,2.0,unit,140.0,12.0,1.0,10.0,0.0,Ligero pre-entreno
Desayuno,07:30,Pan integral (rebanada 50 g),1.0,slice,120.0,4.0,20.0,2.0,3.0,
Desayuno,07:30,Naranja,1.0,unit,62.0,1.2,15.4,0.2,3.1,
Post-entreno mañana,09:45,Proteína aislada (whey) sin lactosa,22.2,g polvo,86.0,20.0,0.9,0.27,0.0,Aislado sin lactosa
Post-entreno mañana,09:45,Creatina monohidratada,5.0,g,0.0,0.0,0.0,0.0,0.0,Post-entreno
Post-entreno mañana,09:45,Avena (en batido),40.0,g,152.0,5.2,25.2,2.8,4.0,Añadir al batido
Post-entreno mañana,09:45,Leche de almendra sin azúcar,250.0,ml,32.5,1.2,0.8,2.8,0.5,
Comida,14:00,Pavo pechuga,200.0,g,320.0,58.0,0.0,6.0,0.0,
Comida,14:00,Quinoa cocida,270.0,g,324.0,10.8,56.7,5.4,7.6,
Comida,14:00,Ensalada mixta,220.0,g,44.0,2.9,8.8,0.4,4.4,Sin cebolla
Comida,14:00,Aceite de oliva virgen extra,10.0,g,90.0,0.0,0.0,10.0,0.0,Aliño/cocción
Comida,14:00,Aguacate,60.0,g,96.0,1.2,5.4,9.0,4.2,
Merienda,17:30,Pan integral (rebanada 50 g),2.0,slice,240.0,8.0,40.0,4.0,6.0,Bocadillo
Merienda,17:30,Pechuga de pavo (fiambre magro),80.0,g,128.0,23.2,0.0,2.4,0.0,Equivalente fiambre magro
Merienda,17:30,Aguacate,50.0,g,80.0,1.0,4.5,7.5,3.5,Untado
Post-cardio tarde,19:30,Proteína aislada (whey) sin lactosa,16.7,g polvo,64.5,15.0,0.7,0.2,0.0,Aislado sin lactosa
Post-cardio tarde,19:30,Creatina monohidratada,5.0,g,0.0,0.0,0.0,0.0,0.0,Post-entreno
Post-cardio tarde,19:30,Avena (en batido),30.0,g,114.0,3.9,18.9,2.1,3.0,Añadir al batido
Post-cardio tarde,19:30,Leche de almendra sin azúcar,200.0,ml,26.0,1.0,0.6,2.2,0.4,
Comida,21:30,Bonito,220.0,g,316.8,50.6,0.0,11.0,0.0,
Comida,21:30,Arroz blanco cocido,300.0,g,390.0,8.1,84.0,0.9,1.2,
Comida,21:30,Calabacín,150.0,g,25.5,1.8,4.7,0.4,1.5,Sin cebolla
Comida,21:30,Pimiento rojo,150.0,g,46.5,1.5,9.0,0.4,3.2,Sin cebolla
Comida,21:30,Aceite de oliva virgen extra,10.0,g,90.0,0.0,0.0,10.0,0.0,Aliño/cocción
TOTAL,,—,,,2987.8,230.6,296.6,90.0,45.6,
